"Note: 
ビデオ発表の人は除外",,,,,予定発表者数,77,,,,,,,,,,,,
発表時間：,0:12,,,,合計,77,0,,,,,,,,,,,
,,,1日目希望,,,,,,,,,,,,,,,
,,,1日目午後以降希望,,,,,,,,,,,,,,,
,,,2日目希望,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,12/23（金）,,1日目発表者数,39,人,,,,,,12/24（土）,,2日目発表者数,38,,,,
所要時間,開始時間,終了時間,セッション名,発表者数,発表者,所属,タイトル,座長,,所要時間,開始時間,終了時間,セッション名,発表者数,発表者,所属,タイトル,座長
1:00,9:00,10:00,受付,,,,,,,1:15,8:30,9:45,セッション8,6,森 拓輝,神戸大,サッカーのドリブルにおけるリズム感の向上を目的としたリズムゲームの提案,松井 菜摘
0:15,10:00,10:15,オープニング,,,,,,,,,,エンタテインメント,,村上 カノ,京都産業大学,わたあめへのプロジェクションマッピング,
1:15,10:15,11:30,セッション1,6,内海 壮一朗,神戸大,適切なタイミングで反射性瞬目を誘発するシステムの実装と評価,鷲野 海,,,,,,,吉田 航輝,立命館大学,上腕圧迫による脈波制御を用いたビデオゲームの実装,
,,,頭部1,,京極 太一,神戸大,認知能力向上を目的とした瞳孔径制御による能力変動の検討,,,,,,,,小田 征史朗,神戸大,身体動作を利用したパズルゲームを用いたバランス機能のスコア推定,
,,,,,佐藤 宏樹,神戸大,視界の明るさを制御して明順応と暗順応を支援するウェアラブルデバイス,,,,,,,,中尾 恵美里,立命館大学,手首装着型加速度センサを用いたテーマパークにおける乗車アトラクション識別手法の提案,
,,,,,内田 純平,神戸大,瞬き入力インタフェースを用いた条件付けによる読書中の瞬き誘発手法の評価,,,,,,,,寺坂 亮祐,神戸大,振付師が意識した楽曲パートを推定するためのダンス動作と楽曲パートの類似度判定手法,
,,,,,大沢 健太,神戸大,オンライン講義における視聴者の視線解析を用いた視聴者の行動推定手法の検討,,,0:05,9:45,9:50,休憩,,,,,
,,,,,大塚 眞柊,京都産業大学,HMD装着時のVR環境内での動的な視野角の変化を用いた歩行可能なVR空間の拡張,,,1:15,9:50,11:05,セッション9,6,森川 開仁,京都産業大学,不審者の撃退を想定したVRシステムのための刺股を模倣したVRコントローラーの提案,岡 大貴
0:05,11:30,11:35,休憩,,,,,,,,,,デバイス,,蔵田 直生,立命館大学,水圧センサを用いた浴槽内溺没検出による自動排水栓の設計と実装,
1:15,11:35,12:50,セッション2,6,吉川 理帆,神戸大学,UV化粧品の適切な塗布動作提示に向けた可視化システム,岡 大貴,,,,,,,望月 万里衣,沼津工業高等専門学校,ひずみゲージと圧力センサを用いた“正しい”箸の使い方の評価システムの検討,
,,,頭部2,,猪熊 洸希,立命館大学,額のシワ画像を用いた非接触計測体温計管理システムの提案,,,,,,,,宮嶋 佑輔,神戸大,炭酸飲料の刺激自動調節のための炭酸飲料中の二酸化炭素量の非接触計測手法の提案,
,,,,,松井 菜摘,神戸大,温湿度センサを用いた顔の経皮水分蒸散量常時計測デバイスの提案,,,,,,,,秋山 幸輝,立命館大学,ペルチェ素子を用いた手首体温制御デバイスにおける冷却強度と体温変化の影響調査,
,,,,,磯部 海斗,立命館大学,複数画像提示時の視線移動情報を用いた個人認証手法の提案,,,,,,,,鷲野 海,神戸大,唾液分泌を促すにおい噴射機能をもつ眼鏡型ウェアラブルシステムの実装と評価,
,,,,,毛 昊珉,神戸大,ウェアラブルセンサを用いた帽子内環境における頭皮水分量の推定,,,0:05,11:05,11:10,休憩,,,,,
